PLAYER,GP,FPTS,FPPG
Rodrigo Blankenship K  IND,17,138,8.1
Evan McPherson K  CIN,17,137,8.1
Harrison Butker K  KC,17,136,8
Daniel Carlson K  LV,17,134,7.9
Matt Gay K  LAR,17,134,7.9
Greg Joseph K  MIN,17,133,7.8
Ryan Succop K  TB,17,131,7.7
Dustin Hopkins K  LAC,17,130,7.6
Jake Elliott K  PHI,17,129,7.6
Brett Maher K  DAL,17,129,7.6
Robbie Gould K  SF,17,127,7.5
Matt Prater K  ARI,17,127,7.5
Younghoe Koo K  ATL,17,126,7.4
Mason Crosby K  GB,17,125,7.4
Brandon McManus K  DEN,17,124,7.3
Jason Sanders K  MIA,17,124,7.3
Randy Bullock K  TEN,17,124,7.3
Nick Folk K  NE,17,122,7.2
Chris Boswell K  PIT,17,121,7.1
Wil Lutz K  NO,17,117,6.9
Cairo Santos K  CHI,17,113,6.6
Graham Gano K  NYG,17,112,6.6
Austin Seibert K  DET,17,108,6.4
Joey Slye K  WAS,17,106,6.2
James McCourt K  JAC,17,103,6.1
Cade York K  CLE,17,99,5.8
Greg Zuerlein K  NYJ,17,95,5.6
Ka'imi Fairbairn K  HOU,17,92,5.4
Zane Gonzalez K  CAR,13,86,6.6
Jason Myers K  SEA,17,86,5.1
Buffalo,696,238.2,14
San Francisco,721,194.4,11.4
New Orleans,721,191.4,11.3
Green Bay,712,188.8,11.1
Cleveland,707,184.6,10.9
Indianapolis,721,184.4,10.8
L.A. Rams,720,182.6,10.7
Baltimore,675,171.4,10.1
Pittsburgh,703,162,9.5
Dallas,690,159.2,9.4
Minnesota,713,159.1,9.4
Tampa Bay,735,157,9.2
L.A. Chargers,715,155.8,9.2
Miami,660,155.8,9.2
Arizona,726,154.1,9.1
Chicago,733,154,9.1
Cincinnati,749,147.9,8.7
Kansas City,731,147.5,8.7
Washington,742,147.3,8.7
Denver,707,146.6,8.6
Carolina,724,145,8.5
New England,723,142.5,8.4
Tennessee,692,140.7,8.3
N.Y. Jets,751,140.1,8.2
Houston,749,139,8.2
Detroit,721,136.6,8
N.Y. Giants,721,135.9,8
Jacksonville,748,134.5,7.9
Las Vegas,738,132.1,7.8
Philadelphia,751,124.5,7.3
Seattle,729,113.4,6.7
Atlanta,733,109,6.4
